NE Name,Shelf,Slot,Port,Port Name,ONTs
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,1,TRK XI1376 (ITAGU-137-06-CO2),30
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,2,TRK XI1386 (ITAGU-138-06-CO2),24
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,3,TRK XI1396 (ITAGU-139-06-CO2),36
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,4,TRK XI1406 (ITAGU-140-06-CO2),29
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,5,TRK XI1416 (ITAGU-141-06-CO2),36
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,6,TRK XI1426 (ITAGU-142-06-CO2),37
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,7,TRK XI1436 (ITAGU-143-06-CO2),23
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,8,TRK XI1446 (ITAGU-144-06-CO2),14
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,9,TRK XI1456 (ITAGU-145-06-CO2),26
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,10,TRK XI1466 (ITAGU-146-06-CO2),24
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,11,TRK XI1476 (ITAGU-147-06-CO2),19
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,12,TRK XI1486 (ITAGU-148-06-CO2),24
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,13,TRK XI1496 (ITAGU-149-06-CO2),24
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,14,TRK XI1506 (ITAGU-150-06-CO2),27
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,15,TRK XI1516 (ITAGU-151-06-CO2),18
ZAC-ANT.ATP_ITAGUI-N1-C600,1,4,16,TRK XI1526 (ITAGU-152-06-CO2),31
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,1,TRK XI1536 (ITAGU-153-06-CO2),20
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,2,TRK XI1546 (ITAGU-154-06-CO2),32
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,3,TRK XI1556 (ITAGU-155-06-CO2),27
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,4,TRK XI1566 (ITAGU-156-06-CO2),30
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,5,TRK XI1404 (ITAGU-140-04-CO2),32
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,6,TRK XI1414 (ITAGU-141-04-CO2),29
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,7,TRK XI1424 (ITAGU-142-04-CO2),34
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,8,TRK XI1434 (ITAGU-143-04-CO2),20
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,9,TRK XI1444 (ITAGU-144-04-CO2),29
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,10,TRK XI1104 (ITAGU-110-04-CO2),17
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,11,TRK XI1114 (ITAGU-111-04-CO2),26
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,12,TRK XI1124 (ITAGU-112-04-CO2),18
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,13,TRK XI1134 (ITAGU-113-04-CO2),30
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,14,TRK XI1144 (ITAGU-114-04-CO2),25
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,15,TRK XI1154 (ITAGU-115-04-CO2),13
ZAC-ANT.ATP_ITAGUI-N1-C600,1,5,16,TRK XI1164 (ITAGU-116-04-CO2),25
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,1,TRK XI1742 (ITAGU-174-02-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,2,TRK XI1184 (ITAGU-118-04-CO2),19
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,3,TRK XI1752 (ITAGU-175-02-CO2),34
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,4,TRK XI1762 (ITAGU-176-02-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,6,5,TRK XI1892 (ITAGU-189-02-CO2),0
